File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\gen\net\apogames\apodice\BuildConfig.java,8,4,3,0,2,0,2,21,1,1
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\gen\net\apogames\apodice\Manifest.java,7,3,2,0,2,0,2,21,1,1
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\gen\net\apogames\apodice\R.java,24,15,10,0,3,0,6,32,6,32
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\ApoDice.java,58,45,37,3,13,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\ApoDiceButtons.java,106,88,83,2,18,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\ApoDiceComponent.java,151,101,66,14,33,0,17,85,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\ApoDiceConstants.java,19,12,15,0,7,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\ApoDiceModel.java,62,38,28,2,24,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\editor\ApoDiceUserlevels.java,143,120,90,29,23,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\editor\ApoDiceUserlevelsLoad.java,219,182,156,22,37,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\entity\ApoButton.java,242,126,94,25,28,0,88,471,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\entity\ApoDiceEntity.java,99,75,55,10,24,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\entity\ApoDiceString.java,73,57,48,5,16,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\entity\ApoEntity.java,436,160,113,30,51,0,225,921,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\entity\ApoLevelChooserButton.java,24,15,11,1,9,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\game\ApoDiceEditor.java,339,294,226,42,42,0,3,5,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\game\ApoDiceMenu.java,151,117,89,10,34,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\game\ApoDicePanel.java,251,190,141,24,59,0,2,11,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\game\ApoDicePuzzleChooser.java,154,122,89,21,32,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\game\ApoDicePuzzleGame.java,454,394,295,74,44,0,16,92,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\game\ApoDiceSolve.java,235,198,142,52,25,0,12,50,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoDice\src\net\apogames\apodice\level\ApoDiceLevel.java,224,170,15,7,36,0,18,129,0,0
