Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,19,5196,2502,1793,371,588,0,2106,10370,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid,19,5196,2502,1793,371,588,0,2106,10370,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src,19,5196,2502,1793,371,588,0,2106,10370,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net,19,5196,2502,1793,371,588,0,2106,10370,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames,19,5196,2502,1793,371,588,0,2106,10370,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid,19,5196,2502,1793,371,588,0,2106,10370,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\editor,2,362,302,246,51,60,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\entity,5,956,433,321,71,132,0,391,1652,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\game,6,2978,1313,982,221,251,0,1414,7589,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\level,1,348,170,15,7,38,0,140,349,0,0
